Crop,Day,Water_Requirement_Crop,Water_Requirement_Greenhouse,Motor_Run_Time_Minutes
Banana,1.0,42.233333333333334,10.051533333333335,603.0920000000001
Banana,2.0,42.46666666666667,10.107066666666666,606.424
Banana,3.0,42.699999999999996,10.162599999999998,609.7559999999999
Banana,4.0,42.93333333333333,10.218133333333334,613.0880000000001
Banana,5.0,43.166666666666664,10.273666666666667,616.4200000000001
Banana,6.0,43.400000000000006,10.329200000000002,619.7520000000001
Banana,7.0,43.63333333333334,10.384733333333335,623.0840000000001
Banana,8.0,43.86666666666667,10.440266666666666,626.4159999999999
Banana,9.0,44.1,10.495800000000001,629.748
Banana,10.0,44.333333333333336,10.551333333333334,633.08
Banana,11.0,44.56666666666667,10.606866666666667,636.412
Banana,12.0,44.8,10.6624,639.744
Banana,13.0,45.03333333333333,10.717933333333335,643.076
Banana,14.0,45.266666666666666,10.773466666666666,646.4079999999999
Banana,15.0,45.5,10.828999999999999,649.7399999999999
Banana,16.0,45.73333333333333,10.884533333333332,653.0719999999999
Banana,17.0,45.96666666666667,10.940066666666668,656.4040000000001
Banana,18.0,46.2,10.995600000000001,659.7360000000001
Banana,19.0,46.43333333333334,11.051133333333334,663.0680000000001
Banana,20.0,46.66666666666667,11.10666666666667,666.4000000000001
Banana,21.0,46.9,11.162199999999999,669.732
Banana,22.0,47.13333333333333,11.217733333333333,673.064
Banana,23.0,47.36666666666667,11.273266666666666,676.396
Banana,24.0,47.6,11.328800000000001,679.7280000000001
Banana,25.0,47.83333333333333,11.384333333333332,683.06
Banana,26.0,48.06666666666666,11.439866666666667,686.392
Banana,27.0,48.3,11.4954,689.724
Banana,28.0,48.53333333333333,11.550933333333333,693.056
Banana,29.0,48.76666666666667,11.606466666666668,696.388
Banana,30.0,49.0,11.662,699.72
Banana,31.0,49.233333333333334,11.717533333333334,703.052
Banana,32.0,49.46666666666667,11.773066666666669,706.3840000000001
Banana,33.0,49.7,11.8286,709.716
Banana,34.0,49.93333333333333,11.884133333333333,713.048
Banana,35.0,50.166666666666664,11.939666666666668,716.3800000000001
Banana,36.0,50.4,11.9952,719.712
Banana,37.0,50.63333333333333,12.050733333333334,723.044
Banana,38.0,50.86666666666666,12.106266666666665,726.3759999999999
Banana,39.0,51.10000000000001,12.161800000000001,729.7080000000001
Banana,40.0,51.333333333333336,12.217333333333334,733.0400000000001
Banana,41.0,51.56666666666667,12.272866666666667,736.3720000000001
Banana,42.0,51.800000000000004,12.3284,739.7040000000001
Banana,43.0,52.03333333333333,12.383933333333335,743.0360000000001
Banana,44.0,52.266666666666666,12.439466666666668,746.368
Banana,45.0,52.5,12.495,749.6999999999999
Banana,46.0,52.733333333333334,12.550533333333332,753.0319999999999
Banana,47.0,52.96666666666667,12.606066666666667,756.364
Banana,48.0,53.199999999999996,12.6616,759.696
Banana,49.0,53.43333333333333,12.717133333333333,763.028
Banana,50.0,53.666666666666664,12.772666666666666,766.3599999999999
Banana,51.0,53.89999999999999,12.828199999999997,769.6919999999998
Banana,52.0,54.133333333333326,12.883733333333332,773.0239999999999
Banana,53.0,54.36666666666667,12.939266666666667,776.356
Banana,54.0,54.6,12.9948,779.688
Banana,55.0,54.833333333333336,13.050333333333334,783.0200000000001
Banana,56.0,55.06666666666667,13.10586666666667,786.3520000000002
Banana,57.0,55.3,13.161399999999999,789.684
Banana,58.0,55.53333333333333,13.216933333333333,793.016
Banana,59.0,55.766666666666666,13.272466666666666,796.348
Banana,60.0,56.0,13.328000000000001,799.6800000000001
Banana,61.0,56.23333333333334,13.383533333333336,803.0120000000002
Banana,62.0,56.46666666666667,13.439066666666667,806.344
Banana,63.0,56.7,13.494600000000002,809.6760000000002
Banana,64.0,56.93333333333334,13.550133333333333,813.008
Banana,65.0,57.16666666666667,13.605666666666668,816.34
Banana,66.0,57.4,13.661200000000001,819.672
Banana,67.0,57.63333333333333,13.716733333333334,823.004
Banana,68.0,57.86666666666667,13.772266666666667,826.336
Banana,69.0,58.1,13.827800000000002,829.6680000000001
Banana,70.0,58.33333333333333,13.883333333333333,833.0
Banana,71.0,58.56666666666666,13.938866666666666,836.332
Banana,72.0,58.8,13.994399999999999,839.664
Banana,73.0,59.03333333333333,14.049933333333334,842.996
Banana,74.0,59.26666666666666,14.105466666666665,846.3279999999999
Banana,75.0,59.5,14.161000000000001,849.6600000000001
Banana,76.0,59.733333333333334,14.216533333333334,852.9920000000001
Banana,77.0,59.96666666666667,14.272066666666667,856.3240000000001
Banana,78.0,60.2,14.3276,859.6560000000001
Banana,79.0,60.43333333333333,14.383133333333332,862.9879999999999
Banana,80.0,60.666666666666664,14.438666666666668,866.32
Banana,81.0,60.9,14.494200000000001,869.652
Banana,82.0,61.13333333333333,14.549733333333332,872.9839999999999
Banana,83.0,61.366666666666674,14.605266666666669,876.3160000000001
Banana,84.0,61.60000000000001,14.660800000000002,879.6480000000001
Banana,85.0,61.833333333333336,14.716333333333335,882.9800000000001
Banana,86.0,62.06666666666667,14.771866666666668,886.3120000000001
Banana,87.0,62.300000000000004,14.827400000000003,889.6440000000001
Banana,88.0,62.53333333333333,14.882933333333332,892.9759999999999
Banana,89.0,62.766666666666666,14.938466666666667,896.308
Banana,90.0,63.0,14.994,899.64
Banana,91.0,63.233333333333334,15.049533333333333,902.972
Banana,92.0,63.46666666666667,15.10506666666667,906.3040000000002
Banana,93.0,63.699999999999996,15.160599999999999,909.636
Banana,94.0,63.93333333333333,15.216133333333334,912.968
Banana,95.0,64.16666666666666,15.271666666666667,916.3
Banana,96.0,64.39999999999999,15.3272,919.632
Banana,97.0,64.63333333333333,15.38273333333333,922.9639999999998
Banana,98.0,64.86666666666666,15.438266666666664,926.2959999999998
Banana,99.0,65.10000000000001,15.4938,929.628
Banana,100.0,65.33333333333333,15.54933333333333,932.9599999999998
Banana,101.0,65.56666666666666,15.604866666666666,936.2919999999999
Banana,102.0,65.8,15.660400000000001,939.624
Banana,103.0,66.03333333333333,15.715933333333334,942.956
