Crop,Day,Water_Requirement
Rice,1.0,35.166666666666664
Rice,2.0,35.33333333333333
Rice,3.0,35.5
Rice,4.0,35.666666666666664
Rice,5.0,35.83333333333333
Rice,6.0,36.0
Rice,7.0,36.16666666666667
Rice,8.0,36.333333333333336
Rice,9.0,36.5
Rice,10.0,36.66666666666667
Rice,11.0,36.833333333333336
Rice,12.0,37.0
Rice,13.0,37.166666666666664
Rice,14.0,37.333333333333336
Rice,15.0,37.5
Rice,16.0,37.666666666666664
Rice,17.0,37.83333333333333
Rice,18.0,38.0
Rice,19.0,38.166666666666664
Rice,20.0,38.333333333333336
Rice,21.0,38.5
Rice,22.0,38.66666666666667
Rice,23.0,38.833333333333336
Rice,24.0,39.0
Rice,25.0,39.166666666666664
Rice,26.0,39.333333333333336
Rice,27.0,39.5
Rice,28.0,39.666666666666664
Rice,29.0,39.83333333333333
Rice,30.0,40.0
Rice,31.0,40.166666666666664
Rice,32.0,40.33333333333333
Rice,33.0,40.49999999999999
Rice,34.0,40.66666666666667
Rice,35.0,40.833333333333336
Rice,36.0,41.0
Rice,37.0,41.16666666666667
Rice,38.0,41.333333333333336
Rice,39.0,41.5
Rice,40.0,41.666666666666664
Rice,41.0,41.833333333333336
Rice,42.0,42.0
Rice,43.0,42.166666666666664
Rice,44.0,42.33333333333333
Rice,45.0,42.5
Rice,46.0,42.66666666666667
Rice,47.0,42.833333333333336
Rice,48.0,43.0
Rice,49.0,43.16666666666667
Rice,50.0,43.333333333333336
Rice,51.0,43.5
Rice,52.0,43.666666666666664
Rice,53.0,43.833333333333336
Rice,54.0,44.0
Rice,55.0,44.166666666666664
Rice,56.0,44.33333333333333
Rice,57.0,44.5
Rice,58.0,44.666666666666664
Rice,59.0,44.83333333333333
Rice,60.0,44.99999999999999
Rice,61.0,45.16666666666667
Rice,62.0,45.333333333333336
Rice,63.0,45.5
Rice,64.0,45.666666666666664
Rice,65.0,45.833333333333336
Rice,66.0,46.0
Rice,67.0,46.166666666666664
Rice,68.0,46.33333333333333
Rice,69.0,46.5
Rice,70.0,46.666666666666664
Rice,71.0,46.833333333333336
Rice,72.0,47.00000000000001
Rice,73.0,47.16666666666667
Rice,74.0,47.333333333333336
Rice,75.0,47.5
Rice,76.0,47.66666666666667
Rice,77.0,47.833333333333336
Rice,78.0,48.0
Rice,79.0,48.166666666666664
Rice,80.0,48.333333333333336
Rice,81.0,48.5
Rice,82.0,48.666666666666664
Rice,83.0,48.83333333333333
Rice,84.0,49.0
Rice,85.0,49.166666666666664
Rice,86.0,49.33333333333333
Rice,87.0,49.5
Rice,88.0,49.66666666666667
Rice,89.0,49.833333333333336
Rice,90.0,50.0
Rice,91.0,50.166666666666664
Rice,92.0,50.333333333333336
Rice,93.0,50.5
Rice,94.0,50.666666666666664
Rice,95.0,50.83333333333333
Rice,96.0,51.0
Rice,97.0,51.16666666666667
Rice,98.0,51.333333333333336
Rice,99.0,51.5
Rice,100.0,51.66666666666667
Rice,101.0,51.833333333333336
Rice,102.0,52.0
Rice,103.0,52.16666666666667
Rice,104.0,52.333333333333336
Rice,105.0,52.5
Rice,106.0,52.666666666666664
Rice,107.0,52.83333333333333
Rice,108.0,53.0
Rice,109.0,53.166666666666664
Rice,110.0,53.33333333333333
Rice,111.0,53.5
Rice,112.0,53.666666666666664
Rice,113.0,53.83333333333333
Rice,114.0,53.99999999999999
Rice,115.0,54.16666666666667
Rice,116.0,54.333333333333336
Rice,117.0,54.5
Rice,118.0,54.666666666666664
Rice,119.0,54.833333333333336
Rice,120.0,55.0
Rice,121.0,55.166666666666664
Rice,122.0,55.333333333333336
Rice,123.0,55.50000000000001
Rice,124.0,55.66666666666667
Rice,125.0,55.833333333333336
Rice,126.0,56.0
Rice,127.0,56.16666666666667
Rice,128.0,56.333333333333336
Rice,129.0,56.5
Rice,130.0,56.666666666666664
Rice,131.0,56.833333333333336
Rice,132.0,57.0
Rice,133.0,57.166666666666664
Rice,134.0,57.33333333333333
Rice,135.0,57.5
Rice,136.0,57.666666666666664
Rice,137.0,57.83333333333333
Rice,138.0,57.99999999999999
Rice,139.0,58.166666666666664
Rice,140.0,58.33333333333333
Rice,141.0,58.49999999999999
Rice,142.0,58.66666666666667
Rice,143.0,58.833333333333336
Rice,144.0,59.0
Rice,145.0,59.166666666666664
Rice,146.0,59.333333333333336
Rice,147.0,59.5
Rice,148.0,59.66666666666667
Rice,149.0,59.833333333333336
Rice,150.0,60.00000000000001
Rice,151.0,60.16666666666667
Rice,152.0,60.333333333333336
Rice,153.0,60.5
Rice,154.0,60.66666666666667
Rice,155.0,60.833333333333336
Rice,156.0,61.0
Rice,157.0,61.166666666666664
Rice,158.0,61.333333333333336
Rice,159.0,61.5
Rice,160.0,61.666666666666664
Rice,161.0,61.83333333333333
Rice,162.0,62.0
Rice,163.0,62.166666666666664
Rice,164.0,62.33333333333333
Rice,165.0,62.49999999999999
Rice,166.0,62.666666666666664
Rice,167.0,62.83333333333333
Rice,168.0,63.0
Rice,169.0,63.166666666666664
Rice,170.0,63.333333333333336
Rice,171.0,63.5
Rice,172.0,63.666666666666664
Rice,173.0,63.83333333333333
Rice,174.0,64.0
Rice,175.0,64.16666666666667
Rice,176.0,64.33333333333334
Rice,177.0,64.5
Rice,178.0,64.66666666666667
Rice,179.0,64.83333333333334
Rice,180.0,65.0
Rice,181.0,65.16666666666667
Rice,182.0,65.33333333333333
Rice,183.0,65.5
Rice,184.0,65.66666666666667
Rice,185.0,65.83333333333333
Rice,186.0,66.0
Rice,187.0,66.16666666666667
Rice,188.0,66.33333333333333
Rice,189.0,66.5
Rice,190.0,66.66666666666666
Rice,191.0,66.83333333333333
Rice,192.0,67.0
Rice,193.0,67.16666666666666
Rice,194.0,67.33333333333333
Rice,195.0,67.5
Rice,196.0,67.66666666666667
Rice,197.0,67.83333333333333
Rice,198.0,68.0
Rice,199.0,68.16666666666667
Rice,200.0,68.33333333333333
Rice,201.0,68.5
Rice,202.0,68.66666666666667
Rice,203.0,68.83333333333334
Rice,204.0,69.0
Rice,205.0,69.16666666666667
Rice,206.0,69.33333333333334
Rice,207.0,69.5
Rice,208.0,69.66666666666667
Rice,209.0,69.83333333333333
Rice,210.0,70.0
